Date,Open,High,Low,Close,Volume,Adjusted Close
12/09/14,15.03,15.32,14.91,15.27,768000,15.27
12/08/14,15.5,15.5,14.99,15.05,1254500,15.05
12/05/14,15.92,15.99,15.63,15.77,644800,15.77
12/04/14,15.99,16.16,15.9,16.05,739700,16.05
12/03/14,16.27,16.44,16.06,16.24,586600,16.24
12/02/14,16.42,16.57,16.04,16.21,1179200,16.21
12/01/14,15.85,16.76,15.85,16.72,59000,16.72
11/28/14,16.77,16.82,16.15,16.21,1915300,16.21
11/26/14,17.91,18.05,17.83,17.88,596600,17.88
11/25/14,18.64,18.68,17.94,17.97,799100,17.97
11/24/14,18.59,18.79,18.39,18.47,358400,18.47
11/21/14,18.71,18.73,18.43,18.68,384300,18.68
11/20/14,18.3,18.5,18.2,18.43,246500,18.43
11/19/14,18.2,18.34,18.02,18.12,484900,18.12
11/18/14,18.28,18.31,18.07,18.09,330800,18.09
11/17/14,18.26,18.47,18.22,18.42,156700,18.42
11/14/14,18.22,18.59,18.14,18.49,494900,18.49
11/13/14,18.6,18.62,18.02,18.17,933000,18.17
11/01/14,18.82,19.04,18.71,18.75,255000,18.75
11/11/14,18.89,19.06,18.66,18.92,327600,18.92
11/10/14,19.45,19.45,18.83,18.86,433200,18.86
11/07/14,19.18,19.44,19.15,19.19,404600,19.19
11/06/14,18.98,19.14,18.84,19.07,463700,19.07
11/05/14,18.89,19.41,18.89,19.32,591600,19.32
11/04/14,18.85,18.88,18.57,18.85,1046700,18.85
11/03/14,19.68,19.84,19.11,19.16,577500,19.16
10/31/14,19.51,19.8,19.47,19.79,342400,19.79
10/30/14,19.99,20.04,19.8,19.87,249000,19.87
10/29/14,20.15,20.35,20.05,20.2,425000,20.2
10/28/14,19.86,19.98,19.74,19.93,444400,19.93
10/27/14,19.55,19.88,19.46,19.79,645100,19.79
10/24/14,19.9,19.96,19.69,19.96,368300,19.96
10/23/14,19.95,20.22,19.9,20.11,805700,20.11
10/22/14,20.38,20.39,19.66,19.71,751800,19.71
10/21/14,20.3,20.46,20.02,20.27,496100,20.27
10/20/14,20.08,20.21,19.81,20.15,754100,20.15
10/17/14,20.28,20.5,20.09,20.24,784400,20.24
10/16/14,19.6,20.67,19.49,20.11,804200,20.11
10/15/14,19.81,20.05,19.6,19.79,890700,19.79
10/14/14,20.7,20.7,19.79,19.93,660900,19.93
10/13/14,20.75,20.95,20.55,20.75,327600,20.75
10/10/14,20.88,21.08,20.58,20.89,366600,20.89
10/09/14,21.21,21.26,20.75,20.81,520300,20.81
10/08/14,21.53,21.53,21.24,21.44,443900,21.44
10/07/14,22.01,22.02,21.71,21.77,179000,21.77
10/06/14,22.01,22.26,21.75,22.2,292300,22.2
10/03/14,22.28,22.33,21.9,22.01,318100,22.01
10/02/14,22,22.44,21.91,22.42,504400,22.42
10/01/14,22.58,22.86,22.21,22.27,372000,22.27
09/30/14,23.18,23.2,22.31,22.44,289000,22.44
09/29/14,22.85,23.3,22.85,23.25,237800,23.25
09/26/14,22.8,23.09,22.76,23,161000,23
09/25/14,22.93,22.96,22.64,22.74,132800,22.74
09/24/14,22.53,22.94,22.38,22.88,301900,22.88
09/23/14,22.37,22.62,22.29,22.47,148900,22.47
09/22/14,22.44,22.47,22.19,22.29,180900,22.29
09/19/14,22.52,22.66,22.39,22.55,232000,22.55
09/18/14,23,23,22.57,22.59,185900,22.59
09/17/14,23.03,23.05,22.81,22.86,104800,22.86
09/16/14,22.73,23.16,22.72,23.05,230700,23.05
09/15/14,22.34,22.64,22.32,22.55,241700,22.55
09/12/14,22.59,22.73,22.38,22.44,123600,22.44
09/11/14,22.15,22.74,22.11,22.67,300600,22.67
09/10/14,22.47,22.48,22.19,22.34,343300,22.34
09/09/14,22.69,22.75,22.55,22.58,164400,22.58
09/08/14,22.39,22.66,22.36,22.66,304900,22.66
09/05/14,23.05,23.07,22.64,22.8,233200,22.8
09/04/14,23.13,23.23,22.98,23.1,159100,23.1
09/03/14,22.95,23.41,22.89,23.28,330300,23.28
09/02/14,23.1,23.16,22.59,22.71,540200,22.71
08/29/14,23.26,23.44,23.19,23.43,128300,23.43
08/28/14,23.03,23.11,22.92,23.11,173100,23.11
08/27/14,22.9,22.99,22.78,22.89,89700,22.89
08/26/14,22.95,23.01,22.76,22.9,231500,22.9
08/25/14,22.72,22.84,22.68,22.78,153800,22.78
08/22/14,22.73,22.87,22.64,22.84,290100,22.84
08/21/14,22.8,23.04,22.78,22.92,111100,22.92
08/20/14,22.74,22.8,22.64,22.78,239100,22.78
08/19/14,22.86,22.9,22.58,22.67,212400,22.67
08/18/14,22.91,22.97,22.79,22.91,220800,22.91
08/15/14,22.96,23.26,22.96,23.19,269200,23.19
08/14/14,23.44,23.46,22.91,22.94,150500,22.94
08/13/14,23.57,23.68,23.42,23.58,141400,23.58
08/12/14,23.53,23.65,23.44,23.56,145600,23.56
08/11/14,23.72,23.87,23.7,23.73,72900,23.73
08/08/14,23.68,23.7,23.53,23.64,95500,23.64
08/07/14,23.5,23.65,23.4,23.64,194500,23.64
08/06/14,23.68,23.76,23.41,23.48,136500,23.48
08/05/14,23.79,23.81,23.48,23.6,432400,23.6
08/04/14,23.69,23.95,23.69,23.9,85100,23.9
08/01/14,23.64,23.77,23.56,23.7,187600,23.7
07/31/14,24.16,24.2,23.76,23.79,314400,23.79
07/30/14,24.64,24.71,24.13,24.19,221600,24.19
07/29/14,24.45,24.59,24.39,24.51,170700,24.51
07/28/14,24.6,24.82,24.55,24.7,136900,24.7
07/25/14,24.61,24.92,24.56,24.78,171000,24.78
07/24/14,25.09,25.09,24.79,24.82,191000,24.82
07/23/14,24.99,25.15,24.96,25.06,172800,25.06
07/22/14,25,25.01,24.85,24.91,151000,24.91
07/21/14,24.85,25.05,24.79,25.03,153200,25.03
07/18/14,24.84,24.89,24.75,24.78,245600,24.78
07/17/14,24.82,24.9,24.6,24.88,399700,24.88
07/16/14,24.31,24.52,24.31,24.45,246000,24.45
07/15/14,24.13,24.22,23.97,24.17,209900,24.17
07/14/14,24.31,24.5,24.25,24.48,146700,24.48
07/11/14,24.66,24.71,24.3,24.36,123500,24.36
07/10/14,24.72,24.96,24.67,24.92,249700,24.92
07/09/14,24.9,24.91,24.71,24.73,107400,24.73
07/08/14,25.15,25.24,24.94,25.1,232000,25.1
07/07/14,25.16,25.17,24.98,25.05,198200,25.05
